pincode,district,state_name,latitude,longitude
788816,CACHAR,ASSAM,24.955861,92.426794
788817,CACHAR,ASSAM,24.44,92.29
788818,DIMA HASAO,ASSAM,25.043765,93.200702
788819,DIMA HASAO,ASSAM,24.693726,92.874566
788820,DIMA HASAO,ASSAM,24.601962,92.836632
788830,DIMA HASAO,ASSAM,25.154546,93.087988
788831,DIMA HASAO,ASSAM,25.247071,93.093536
788832,DIMA HASAO,ASSAM,24.925606,92.848638
788931,DIMA HASAO,ASSAM,24.94914,92.829165
790001,WEST KAMENG,ARUNACHAL PRADESH,27.265361,92.421028
790002,WEST KAMENG,ARUNACHAL PRADESH,27.292854,92.497434
790003,WEST KAMENG,ARUNACHAL PRADESH,27.292854,92.497434
790101,WEST KAMENG,ARUNACHAL PRADESH,27.292854,92.497434
790102,EAST KAMENG,ARUNACHAL PRADESH,27.473263,93.060643
790103,PAKKE KESSANG,ARUNACHAL PRADESH,27.473263,93.060643
790104,TAWANG,ARUNACHAL PRADESH,27.592306,91.874889
790105,TAWANG,ARUNACHAL PRADESH,27.631776,92.103496
790106,TAWANG,ARUNACHAL PRADESH,27.631776,92.103496
790114,WEST KAMENG,ARUNACHAL PRADESH,27.292854,92.497434
790116,WEST KAMENG,ARUNACHAL PRADESH,27.292854,92.497434
791001,WEST SIANG,ARUNACHAL PRADESH,28.169889,94.797889
791002,UPPER SIANG,ARUNACHAL PRADESH,28.998334,94.814718
791003,SHI YOMI,ARUNACHAL PRADESH,28.173344,94.76532
791101,LEPARADA,ARUNACHAL PRADESH,28.173344,94.76532
791102,EAST SIANG,ARUNACHAL PRADESH,28.064194,95.323194
791103,EAST SIANG,ARUNACHAL PRADESH,28.278403,95.106583
791104,EAST SIANG,ARUNACHAL PRADESH,28.278403,95.106583
791105,UPPER SIANG,ARUNACHAL PRADESH,28.998334,94.814718
791109,PAPUM PARE,ARUNACHAL PRADESH,27.13025,93.741111
791110,PAPUM PARE,ARUNACHAL PRADESH,27.105833,93.693083
791111,PAPUM PARE,ARUNACHAL PRADESH,27.099028,93.626333
791112,PAPUM PARE,ARUNACHAL PRADESH,27.14525,93.752111
791113,PAPUM PARE,ARUNACHAL PRADESH,27.08675,93.608667
791118,KRA DAADI,ARUNACHAL PRADESH,27.961068,93.455524
791119,LOWER SUBANSIRI,ARUNACHAL PRADESH,27.390838,93.56794
791120,LOWER SUBANSIRI,ARUNACHAL PRADESH,27.539278,93.814667
791121,PAPUM PARE,ARUNACHAL PRADESH,27.099028,93.626333
791122,UPPER SUBANSIRI,ARUNACHAL PRADESH,27.985917,94.2265
791123,PAPUM PARE,ARUNACHAL PRADESH,27.112139,93.816944
791125,LOWER SIANG,ARUNACHAL PRADESH,28.173344,94.76532
792001,LOHIT,ARUNACHAL PRADESH,27.922472,96.168806
792055,CHANGLANG,ARUNACHAL PRADESH,27.137693,95.739659
792056,CHANGLANG,ARUNACHAL PRADESH,27.137693,95.739659
792101,DIBANG VALLEY,ARUNACHAL PRADESH,28.13655,95.13655
792102,NAMSAI,ARUNACHAL PRADESH,27.794615,96.40631
792103,NAMSAI,ARUNACHAL PRADESH,27.667806,95.863194
792104,ANJAW,ARUNACHAL PRADESH,27.794615,96.40631
792105,NAMSAI,ARUNACHAL PRADESH,27.794615,96.40631
792110,LOWER DIBANG VALLEY,ARUNACHAL PRADESH,28.139444,95.843056
792111,LOHIT,ARUNACHAL PRADESH,27.794615,96.40631
792120,CHANGLANG,ARUNACHAL PRADESH,27.06331,95.79242
792121,CHANGLANG,ARUNACHAL PRADESH,27.137693,95.739659
792122,CHANGLANG,ARUNACHAL PRADESH,27.4581,96.4711
792123,CHANGLANG,ARUNACHAL PRADESH,27.137693,95.739659
792129,TIRAP,ARUNACHAL PRADESH,27.169426,95.569224
792130,TIRAP,ARUNACHAL PRADESH,26.99025,95.499167
792131,LONGDING,ARUNACHAL PRADESH,27.169426,95.569224
793001,EAST KHASI HILLS,MEGHALAYA,25.576308,91.889031
793002,EAST KHASI HILLS,MEGHALAYA,25.577611,91.878722
793003,EAST KHASI HILLS,MEGHALAYA,25.572389,91.899417
793004,EAST KHASI HILLS,MEGHALAYA,25.564306,91.872861
793005,EAST KHASI HILLS,MEGHALAYA,25.573917,91.884861
793006,EAST KHASI HILLS,MEGHALAYA,25.569889,91.914278
793007,EAST KHASI HILLS,MEGHALAYA,25.560389,91.917917
793008,EAST KHASI HILLS,MEGHALAYA,25.573917,91.884861
793009,EAST KHASI HILLS,MEGHALAYA,25.573917,91.884861
793010,EAST KHASI HILLS,MEGHALAYA,25.573917,91.884861
793011,EAST KHASI HILLS,MEGHALAYA,25.575528,91.902972
793012,EAST KHASI HILLS,MEGHALAYA,25.573917,91.884861
793014,EAST KHASI HILLS,MEGHALAYA,25.573917,91.884861
793015,EAST KHASI HILLS,MEGHALAYA,25.573917,91.884861
793016,EAST KHASI HILLS,MEGHALAYA,25.573917,91.884861
793017,EAST KHASI HILLS,MEGHALAYA,25.573917,91.884861
793018,EAST KHASI HILLS,MEGHALAYA,25.573917,91.884861
793019,EAST KHASI HILLS,MEGHALAYA,25.573917,91.884861
793021,EAST KHASI HILLS,MEGHALAYA,25.573917,91.884861
793022,EAST KHASI HILLS,MEGHALAYA,25.573917,91.884861
793101,RI BHOI,MEGHALAYA,26.036524,92.083764
793102,RI BHOI,MEGHALAYA,24.9101,93.2601
793103,RI BHOI,MEGHALAYA,26.4601,96.2321
793104,RI BHOI,MEGHALAYA,25.573917,91.884861
793105,RI BHOI,MEGHALAYA,26.036524,92.083764
793106,SOUTH WEST KHASI HILLS,MEGHALAYA,25.573917,91.884861
793107,EAST KHASI HILLS,MEGHALAYA,25.573917,91.884861
793108,EAST KHASI HILLS,MEGHALAYA,25.3,91.7
793109,WEST JAINTIA HILLS,MEGHALAYA,25.184,92.0248
793110,EAST KHASI HILLS,MEGHALAYA,25.573917,91.884861
793111,EAST KHASI HILLS,MEGHALAYA,25.573917,91.884861
793112,EAST KHASI HILLS,MEGHALAYA,25.573917,91.884861
793113,EAST KHASI HILLS,MEGHALAYA,25.573917,91.884861
793114,SOUTH WEST KHASI HILLS,MEGHALAYA,25.651338,91.229932
793115,EAST KHASI HILLS,MEGHALAYA,25.651338,91.229932
793116,RI BHOI,MEGHALAYA,25.573917,91.884861
793119,WEST KHASI HILLS,MEGHALAYA,25.5195,91.2827
793120,WEST KHASI HILLS,MEGHALAYA,25.651338,91.229932
793121,EAST KHASI HILLS,MEGHALAYA,25.573917,91.884861
793122,RI BHOI,MEGHALAYA,26.036524,92.083764
